"district","block","cluster","schoolid","schoolname","category","gender","medium_of_inst","address","area","pincode","landmark","identification1","busroutes","identification2","latlong"
"bangalore","south-1","vajara halli","32868","GKHPS ALAHALLI","Upper Primary","co-ed","kannada","avalahalli south range- 1","bangalore","560062","masjid","","","","POINT(77.5766623020172 12.8893003120716)"
"bangalore","north-4","yelehanka new town","32894","GKLPS RAMAGONDANAHALLI","Lower Primary","co-ed","kannada","","","560064","near ramgondahallibus stop","","","","POINT(77.5755786895751 13.1124160477745)"
"bangalore","north-1","madanayakanahalli","33292","GKHPS SRIKANTAPURA","Upper Primary","co-ed","kannada","","bangalore","560073","opposite oxford public school","","","","POINT(77.4805855751038 13.0531625182782)"
"bangalore","south-2","chamarajpet","32136","GTHPS BELIMUTT","Upper Primary","co-ed","tamil","belimutt road bangalore- 53","bangalore","560053","bakshigarden arch near super talkies","","","","POINT(77.5700211524963 12.9664198482966)"
"bangalore","south-4","doddakanneli","32190","GKLPS SULIKUNTE","Lower Primary","co-ed","kannada","Dommasandra Post","Sulikunte","562125","Opposite Ashwath Katte","Cream Colour Buidling","342 A-Z","Cream Colour Compound","POINT(77.72833 12.88868)"
"bangalore","south-4","thanisandra","32790","GKHPS THANISANDRA","Model Primary","co-ed","kannada","Shivarama Karath Nagar Post","Thani Sandra","560077","Near Thani Sandra Bus Stop","","290J","Cream Colour Building","POINT(77.62906 13.05562)"
"bangalore","south-4","varthur","32910","GKHPS HARLOOR","Lower Primary","co-ed","kannada","H.S.R Layout Post","Haraluru","560102","Opposite Kasavanahalli Lake","Cream Colour Building","341 A","Playground","POINT(77.66536 12.90339)"
"bangalore","south-4","immadihalli","33336","GKLPS PATTANDUR AGRAHARA","Lower Primary","co-ed","kannada","Whitefield Post","Patanduru","560066","Near Booming Bakery & Sweets","No Painted Compound & Play Ground","","Pink Colour Building","POINT(77.73331 12.98134)"
"bangalore","north-2","hebbal","32028","GKLPS VISHWANATH NAGENAHALLI","Lower Primary","co-ed","kannada","","Vishwanath Nagenahalli","560036","Nedar Sant Paul Hermit Church","Green Colour Compound","","Compound Out Side Play Ground","POINT(77.60529 13.04072)"
"bangalore","south-1","mallathahalli","32967","GKHPS JNANABHARATHI","Lower Primary","co-ed","kannada","","","560056","","","","","POINT(77.5030088424683 12.9603138960767)"
"bangalore","south-1","mallathahalli","32969","GKHPS MUTTURAYANA NAGARA","Upper Primary","co-ed","kannada","","","560060","railway track","","","","POINT(77.5003480911255 12.9608575828283)"
"bangalore","south-3","domlur","33128","GKLPS ASHOKNAGAR","Lower Primary","co-ed","kannada","johnson market ashok nagar","bangalore","560025","near m.g.road","","","","POINT(77.6190948486328 12.971229225731)"
"bangalore","north-1","kamakshipalya","32359","GKMPS AGRAHARA DASARAHALLI","Model Primary","co-ed","kannada","jai munirao circle magadi main road agrahara dasarahalli","bangalore","560079","jai munirao circle  bus stop","","","","POINT(77.544207572937 12.9794258633969)"
"bangalore","anekal","sarjapura","32948","GKHPS NARASAPURA","Upper Primary","co-ed","kannada","attibele post anekal taluk","bangalore","562107","arali mara","","","","POINT(77.8002939813 12.8003122409)"
"bangalore","south-4","hoodi","32297","GKLPS SEETHARAM PALYA","Lower Primary","co-ed","kannada","Mahadevapura Post","Sitharampalya","560048","Opposite Anjaneya Swamy Temple","Cream Colour Compound","","","POINT(77.71731 12.98239)"
"bangalore","north-3","vasanthnagar","33141","GKLPS RAJBHAVAN ROAD","Lower Primary","co-ed","kannada","Raj Bhavan","Shivaji Nagar","560051","Near Raj Bhavan Bus Stop","White Colour Building","0","0","POINT(77.59 12.98)"
"bangalore","south-2","chamarajpet","32132","GUHPBS JJR NAGAR","Upper Primary","co-ed","urdu","gori palya","bangalore","560018","charch  goripalya","","","","POINT(77.5579619407654 12.964642446154)"
"bangalore","north-2","malleswaram","33172","GKMPS JAKKARAYANAKERE","Model Primary","co-ed","kannada","railway gata form road jakkaryankare","","560020","krisna floor mill","","","","POINT(77.5693559646606 12.9962783047982)"
"bangalore","north-1","chikkabidarakallu","32160","GULPS PAILVANARAPALYA","Lower Primary","co-ed","urdu","","bangalore","560058","near masjied","","","","POINT(77.5009918212891 13.0380072151692)"
"bangalore","anekal","hennagra","33439","GKHPS YARENDAHALLI","Upper Primary","co-ed","kannada","yarandahalli hennagara post anekal tq","bangalore","999999","left side small scale industries right state petrol bank","","","","POINT(77.6645069404 12.8081304978)"
"bangalore","south-3","yellukunte","32646","GKMPS AGARA","Model Primary","co-ed","kannada","sarjapura main road","bangalore","560102","","","","","POINT(77.6508951187134 12.922754816988)"
"bangalore","north-4","rajanakunte","32776","GKLPS KUDUREGERE","Lower Primary","co-ed","kannada","","bangalore","562157","bus stan","","","","POINT(77.6016712188721 13.1071496443589)"
"bangalore","north-3","oph road","32611","GUHPS LATHIFIA","Upper Primary","co-ed","urdu","Cock Burn Road","Shivaji Nagar","560051","Near Shivaji Nagar Bus Stop","No Painted Compound","","Rose Colour Building And Play Ground","POINT(77.60379 12.98769)"
"bangalore","north-1","heggnahalli","32272","GKLPS BEGGARS COLONY","Lower Primary","co-ed","kannada","Magadi Main Road Viahwaneedam Post Bangalore","Beggars Colony","560091","Opposite Beggars Colony","Yellow Colour Bulding & Blue Colour Door","242252243265","Infrount Play Ground & Sheet Bulding","POINT(77.51826 12.99064)"
"bangalore","north-2","hebbal","32026","GKLPS GUDDADAHALLI (HEBBAL)","Lower Primary","co-ed","kannada","","bangalore","560032","near guddadahalli circle","","","","POINT(77.6041603088379 13.0429824377664)"
"bangalore","north-4","byatarayanapura","32183","GULPS JAKKUR LAYOUT","Lower Primary","co-ed","urdu","","bangalore","560064","near masjid","","","","POINT(77.6121854782104 13.0786840380405)"
"bangalore","north-4","hunasamaranahalli","32484","GKHPS HUNASEMARENAHALLI","Upper Primary","co-ed","kannada","hunasamaranahalli out post bangalore north","bangalore","562157","air fort road devanahalli","","","","POINT(77.6030445098876 13.1068988604321)"
"bangalore","south-3","byarsandra","32143","GKHPS 4TH T BLOCK JAYANAGAR","Upper Primary","co-ed","kannada","","bangalore","560041","opp jai bharath tent","","","","POINT(77.5932168960571 12.9189065741804)"
"bangalore","north-4","hesarghatta","32375","GKLPS KOLUVARAYANAHALLI","Lower Primary","co-ed","kannada","kakolu post hesarghatta hubli","bangalore","560089","near koluvarayanahalli bus stop","","","","POINT(77.5662231445312 13.0882565399287)"
"bangalore","north-4","hesarghatta","32374","GKLPS HAROHALLI PALYA","Lower Primary","co-ed","kannada","","","560089","seethakempanahalliroad","","","","POINT(77.5705146789551 13.0863755099504)"
"bangalore","south-2","chamarajpet","32134","GUMPS CHAMARAJPET","Model Primary","co-ed","urdu","","bangalore","560018","masjid  school","","","","POINT(77.5662660598755 12.960899404837)"
"bangalore","north-4","yelehanka old town","32936","GKHPS YELAHANKA BEO OFFICE","Upper Primary","co-ed","kannada","","bangalore","560064","","","","","POINT(77.5891828536987 13.1011307595859)"
"bangalore","north-4","yelehanka new town","32880","GKHPS ALLALASANDRA","Upper Primary","co-ed","kannada","","bangalore","560064","near patalamma temples","","","","POINT(77.5768661499023 13.1007127760116)"
"bangalore","north-4","t dasarahalli","32832","GKLPS SIDADHAHALLI","Lower Primary","co-ed","kannada","","","560073","bus stop near and one big tree","","","","POINT(77.5125789642333 13.048793705504)"
"bangalore","north-4","byatarayanapura","32169","GKHPS GOVINDAPURA","Upper Primary","co-ed","kannada","Arabic College Post","Govindapua","560045","Near Samudaya Bhavana","Yellow Colour Compound","290 J","Infront Flag","POINT(77.61406 13.0346)"
"bangalore","south-1","karisandra","32976","GULPS KARISANDRA","Lower Primary","co-ed","urdu","B.S.K.2nd Stage 2nd Cross  yarab nagar main road","karisandra","560070","Near karisandra Tele phone Exchange","Cream colour buildind","","in frount  flag post","POINT(77.56896 12.91746)"
"bangalore","north-4","yelehanka new town","32882","GKMPS DODDABETTAHALLI","Lower Primary","co-ed","kannada","Vidyaranyapura Post","Dodda Bettana Halli","560097","Opposite Dodda Bettana Halli Bus Stop","No Compound & Play Ground","271 E","Cream Colour Building","POINT(77.55535 13.09366)"
"bangalore","north-4","yelehanka new town","32890","GKLPS VEERASAGARA","Lower Primary","co-ed","kannada","Vidyaranyapura Post","Veera Sagara","560097","Near Veera Sagara Bus Stop","No Painted Compound & Small Play Ground","271 E","Cream Colour Building","POINT(77.55482 13.10587)"
"bangalore","south-4","doddakanneli","32199","GKHPS MULLURU","Upper Primary","co-ed","kannada","Karmel Ram Post","Muluru","560035","Near Muluru Bus Stop","Playground","342 D","Cream Colour Building","POINT(77.72372 12.90094)"
"bangalore","south-3","konanakunte","32458","GKLPS SARAKKI AGRAHARA","Lower Primary","co-ed","kannada","jp nagar 1st phase","bangalore","560076","anjaneya temple","","","","POINT(77.5917148590088 12.9036385050857)"
"bangalore","south-3","konanakunte","32462","GKMPS PUTTENAHALLI","Model Primary","co-ed","kannada","","bangalore","560078","puttenahalli j p nagar 7 th phase","","","","POINT(77.5845909118652 12.902132562819)"
"bangalore","south-1","uttara halli","32816","GKHPS CHANDRANAGAR","Upper Primary","co-ed","kannada","karimara swami badavane 2nd stage 11th main road","bangalore","566067","police station","","","","POINT(77.5592708587646 12.9087837394052)"
"bangalore","south-3","gottigere","32355","GTLPS TULASIPURA","Lower Primary","co-ed","tamil","","bangalore","999999","","","","","POINT(77.5581121444702 12.8640208419318)"
"bangalore","south-3","gottigere","32354","GKMPS NEKARARA COLONY","Model Primary","co-ed","kannada","","bangalore","560083","","","","","POINT(77.5938177108765 12.8842697229647)"
"bangalore","south-3","lalbagh siddapura","33123","GUMPS SHANTHINAGAR","Model Primary","co-ed","urdu","","bangalore","560027","","","","","POINT(77.6019287109375 12.9626977445618)"
"bangalore","south-1","uttara halli","32822","GUHPS FAYAZABAD","Upper Primary","co-ed","urdu","","","560078","","","","","POINT(77.5710296630859 12.9056882452665)"
"bangalore","north-3","pottery town","32688","GKHPS  JAI BHARTHA NAGAR","Upper Primary","co-ed","kannada","3 cross jai bharthi nagara maruti sevs nagar post","","560033","rama temple","","","","POINT(77.6434278488159 13.0070457050545)"
"bangalore","south-1","huluvenahalli","33044","GKLPS GOLLAHALLI (GANAPATHIHALLI)","Lower Primary","co-ed","kannada","chikkanahalli p tavarekere h","bangalore","562130","chandrappa circle","","","","POINT(77.4608445167542 12.8974264348)"
"bangalore","north-3","pottery town","32692","GTHPS JAIBHARATHNAGAR","Upper Primary","co-ed","tamil","3 cross jai bharthi nagara maruthi seva nagara","","560033","ram temple","","","","POINT(77.6432776451111 13.0071502406306)"
"bangalore","north-1","mallasandra","33281","GKHPS KAMMAGONDANAHALLI","Upper Primary","co-ed","kannada","Kammagondana Halli Post","Kammagondana Halli","560015","Behind Kammagondana Halli Water Tank","Pink Colour Building","","Play Ground & Pink Compound","POINT(77.53092 13.0608)"
"bangalore","north-4","yelehanka new town","32891","GKHPS YELAHANKA 4TH PHASE","Upper Primary","co-ed","kannada","2nd Main","Yelahanka 4th Phase","560106","Near Bus Stop 4th Phase","Infront Play Ground","402B","","POINT(77.57531 13.10414)"
"bangalore","south-1","kaggalipura","32732","GKHPS O B CHOODANAHALLY","Upper Primary","co-ed","kannada","Kanakapura Main Road","D.B.Chudahalli","560082","Right Side Anjaneya Temple","1st Floor School Building","211C","School Building Colour Yellow","POINT(77.5205 12.81664)"
"bangalore","south-1","uttara halli","32824","GKHPS GUBBALALA","Upper Primary","co-ed","kannada","Subramanyapura Post","Gubbalala","560061","Opp Sri Rama Temple","Small Compound","","White Compound","POINT(77.54177 12.88557)"
"bangalore","south-1","vajara halli","32867","GKHPS AGARA","Upper Primary","co-ed","kannada","Thataguni Post","Agara","560062","Agara Last Stop","Cream Colour Building","212","Compound With Play Ground","POINT(77.48668 12.84454)"
"bangalore","north-3","frazer town","32207","GKHPS HALEBYAPPANAHALLI","Upper Primary","co-ed","kannada","2nd cross  near ganesha temple ms nagar post old byappanahalli","bangalore","560033","near ganesha temple","","","","POINT(77.6440072059631 12.9862213402209)"
"bangalore","south-4","jodi huskur","33352","GKLPS BOMMENAHALLI","Lower Primary","co-ed","kannada","","Bommenahalli","560049","Near Bommenahalli Bus Stop","White & Yellow Colour Building","316 C","Stone Compound (No Colour)","POINT(77.74884 13.07409)"
"bangalore","south-4","immadihalli","33337","GULPS WHITE FIELD","Lower Primary","co-ed","urdu","white field post","bangalore","560066","","","","","POINT(77.7514457702637 12.9787985792462)"
"bangalore","south-1","basavanagudi","32342","GULPS PARVATHIPURAM","Lower Primary","co-ed","urdu","parvathipuram xxxx","bangalore","560004","","","","","POINT(77.5803852081299 12.9459266769345)"
"bangalore","south-3","konanakunte","32463","GULPS GHAFFUR KHAN LAYOUT","Lower Primary","co-ed","urdu","ghafur khan layout banashankari road","bangalore","560078","ghafoor khan layout","","","","POINT(77.5891828536987 12.9032620203691)"
"bangalore","north-3","kaval byrasandra","33158","GUHPS VENKATESHPURA","Upper Primary","co-ed","urdu","vinobhanagar venktesh puram k g halli","","560045","near masjid khair","","","","POINT(77.6217985153198 13.0188579462932)"
"bangalore","south-3","konanakunte","32456","GKHPS KOTHANUR (KONANAKUNTE)","Upper Primary","co-ed","kannada","kothanuru sos post","bangalore","560076","kalilaxamma tample","","","","POINT(77.5811147689819 12.8758189425604)"
"bangalore","south-1","vajara halli","32871","GKHPS THATAGUNI","Upper Primary","co-ed","kannada","Agara Main Road","Thataguni","560062","Opposite Thataguni Bus Stop","Cream Colour Building","212","Compound With Play Ground","POINT(77.51141 12.84399)"
"bangalore","south-4","doddakanneli","32194","GKLPS HALANAYAKANHALLI","Lower Primary","co-ed","kannada","Karmelaram Post","","560035","Opposite Halanayakanahalli Bus Stop","Pista Colour Building","341 C","","POINT(77.68828 12.89989)"
"bangalore","south-1","karisandra","32978","GUMPS YARABNAGAR","Model Primary","co-ed","urdu","yarab nagara main road","Yarab nagar","560070","Near Family Clincic","Cream colour buildind","","Cream colour Compound intrance Arch","POINT(77.56811 12.91663)"
"bangalore","south-1","karisandra","32975","GTHPS BHAVANINAGAR","Upper Primary","co-ed","tamil","Kadirena halli park ring road B.S.K. II stage bangalore","Bhavani nagara","560070","Near Suma Clinic","Cream colour buildind  play ground","","","POINT(77.56517 12.91697)"
"bangalore","north-4","t dasarahalli","32835","GKMPS BAGALAGUNTE","Model Primary","co-ed","kannada","Nagasandra Post","Bagalukunte","560073","Opposite B.B.M.P Office","Cream Colour Building","250 C","Blue Colour Gate","POINT(77.50208 13.05705)"
"bangalore","north-2","jalahalli","32165","GKMPS MATHIKERE","Model Primary","co-ed","kannada","","","560054","behind mathikere bus stop","","","","POINT(77.5618886947632 13.0341189463509)"
"bangalore","south-1","srinagara","32635","GKHPS SHANKARAPURAM","Lower Primary","co-ed","kannada","","","560020","","","","","POINT(77.553563117981 12.9471814093467)"
"bangalore","north-3","vasanthnagar","33138","GKLPS RG COLONY","Lower Primary","co-ed","kannada","","","560051","csi stop","","","","POINT(77.5999546051025 12.9836077172793)"
"bangalore","south-1","basavanagudi","32341","GUHPS BASAVANAGUDI","Upper Primary","co-ed","urdu","","bangalore","560004","vijiya college bus stop","","","","POINT(77.5739479064941 12.9416396268712)"
"bangalore","anekal","harappana halli","32623","GKLPS KORATAGEREDODDI","Lower Primary","co-ed","kannada","koratageredoddi ragihalli post anekal taluk","","560083","","","","","POINT(77.5839227728 12.7321714168)"
"bangalore","south-4","immadihalli","33331","GKHPS BASAVANNANAGAR","Upper Primary","co-ed","kannada","Mahadevapura Post","Basavanna Nagar","560048","Near Gopalan International School","Cream Colour Building & Play Ground","","Cream Colour Compound","POINT(77.71874 12.98381)"
"bangalore","south-2","byatarayanapura","32003","GULPS ANCHEPALYA (BYATARAYANAPURA)","Lower Primary","co-ed","urdu","8th Main Road","Anche Palya","560026","Near Tolgate (Mysore Road) Bus Stop","White Colour Building","","","POINT(77.55096 12.95299)"
"bangalore","anekal","haragadde","32810","GKLPS MARUTHINAGARA(JANATHA COLONY)","Lower Primary","co-ed","kannada","","","999999","maruthinagar bus stop","","","","POINT(77.6560953175 12.7931298227)"
"bangalore","anekal","bannerughatta","32334","GKLPS SAMPIGENAHALLI","Lower Primary","co-ed","kannada","","","560083","anganwadi near opp","","","","POINT(77.5790680244 12.8074865784)"
"bangalore","anekal","harappana halli","32630","GKLPS SOLLEPURADODDI","Lower Primary","co-ed","kannada","","bangalore","560083","","","","","POINT(77.5642695947 12.7290966169)"
"bangalore","anekal","chikkahosahalli","32512","GKLPS THIMMAYYANADODDI","Lower Primary","co-ed","kannada","","","562106","thimmaiahnadoddi","","","","POINT(77.6156469201 12.7141169423)"
"bangalore","south-3","beratena agrahara","33093","GKLPS BASAVANAPURA","Lower Primary","co-ed","kannada","Basavanpura Gottigere Post","Basavanpura","560083","Water Tank (Hunuse Mara)","Compound Wall Adjecent To Water Tank","365","Path Way With Flag Post","POINT(77.5944 12.8452)"
"bangalore","south-4","immadihalli","33334","GKHPS NALLURAHALLI","Upper Primary","co-ed","kannada","White field post","","560066","Opposite venugopalaswamy temple","Cream colour compound","","Cream colour building","POINT(77.73507 12.96945)"
"bangalore","north-1","heggnahalli","33891","GKLPS SIDDARTHNAGARA","Lower Primary","co-ed","kannada","","","560058","Near 14th Cross Bus Stop","Blue Pista & Pink Colour Building","","","POINT(77.50077 13.01626)"
"bangalore","south-3","yellukunte","32650","GUMPS BOMMANAHALLI","Model Primary","co-ed","urdu","Begur Road","Bommanahalli","560068","Opposite Jamiya Masjid","White Colour Building","","Black Colour Gate","POINT(77.63 12.91)"
